backend,size,add_p50,search_p50,multihop_p50,merge_p50,evolution_p50
01-alekhdb,500,0.0452,0.0284,0.0370,0.9956,0.9780
01-alekhdb,2000,0.2172,0.6499,0.1987,8.7052,7.3870
01-alekhdb,5000,0.4398,3.2509,0.3947,17.0187,14.8795
01-alekhdb,10000,0.4185,10.2207,0.3900,16.6608,14.5708
02-mem0,500,24.6835,27.0255,,,
02-mem0,2000,24.1595,34.9228,,,
02-mem0,5000,328.4498,315.8043,,,
02-mem0,10000,16.8348,14.5510,,,
03-supermemory,500,0.3683,4.5895,,,
03-supermemory,2000,0.3280,43.0783,,,
03-supermemory,5000,0.4348,125.2053,,,
03-supermemory,10000,0.2560,0.3042,,,
04-zep-graphiti,500,0.6653,85.2273,,,
04-zep-graphiti,2000,0.5113,528.5688,,,
04-zep-graphiti,5000,1.9653,,,,
04-zep-graphiti,10000,0.3867,,,,
05-letta,500,0.8540,1.7127,,,
05-letta,2000,0.7596,1.4495,,,
05-letta,5000,0.7843,0.6657,,,
05-letta,10000,0.7855,0.6712,,,
